District,Block,State,ASSAM AND BENGAL PLAIN  HOT SUBHUMID  TO HUMID  (INCLUSION  OF PERHUMID) ECO-REGION,CENTRAL HIGHLANDS ( MALWA )  GUJARAT PLAIN AND KATHIAWAR PENINSULA  SEMI-ARID ECO-REGION,CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,DECCAN PLATU  HOT SEMI-ARID ECO-REGION,EASTERN COASTAL PLAIN  HOT SUBHUMID TO SEMI-ARID EGO-REGION,EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,EASTERN HIMALAYAS  WARM PERHUMID ECO-REGION,EASTERN PLAIN  HOT SUBAUMID (MOIST) ECO-REGION,EASTERN PLATEAU (CHHATTISGARH REGION),EASTERN PLATEAU (CHHOTANAGPUR) AND EASTERN GHATS  HOT SUBHUMID ECO-REGION,KARNATAKA PLATEAU (RAYALSEEMA AS INCLUSION),WESTERN GHATS AND COASTAL PLAIN  HOT HUMID-PERHUMID ECO-REGION,zones_list,zone_count,is_shared,zone_label,display_color
Alluri Sitharama Raju,Munchingi Puttu,Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.9661915003579,0.0,0.0,Eastern Plateau (Chhotanagpur) & Eastern Ghats (Subhumid),1,False,Eastern Plateau (Chhotanagpur) & Eastern Ghats (Subhumid),#5cb7aa
Alluri Sitharama Raju,Nellipaka,Andhra Pradesh,0.0,0.0,0.0,364.9059745343504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Deccan Plateau (Telangana) & Eastern Ghats (Semi-Arid),1,False,Deccan Plateau (Telangana) & Eastern Ghats (Semi-Arid),#fece7c
Alluri Sitharama Raju,Paderu,Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.4887837466714,0.0,0.0,Eastern Plateau (Chhotanagpur) & Eastern Ghats (Subhumid),1,False,Eastern Plateau (Chhotanagpur) & Eastern Ghats (Subhumid),#5cb7aa
Alluri Sitharama Raju,Peda Bayalu,Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.1463107771082,0.0,0.0,Eastern Plateau (Chhotanagpur) & Eastern Ghats (Subhumid),1,False,Eastern Plateau (Chhotanagpur) & Eastern Ghats (Subhumid),#5cb7aa
Alluri Sitharama Raju,Rajavommangi,Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.0263806307703,0.0,0.0,Eastern Plateau (Chhotanagpur) & Eastern Ghats (Subhumid),1,False,Eastern Plateau (Chhotanagpur) & Eastern Ghats (Subhumid),#5cb7aa
Alluri Sitharama Raju,Rampachodavaram,Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.34236490561017,0.0,0.0,Eastern Plateau (Chhotanagpur) & Eastern Ghats (Subhumid),1,False,Eastern Plateau (Chhotanagpur) & Eastern Ghats (Subhumid),#5cb7aa
Alluri Sitharama Raju,Vararamachandrapuram,Andhra Pradesh,0.0,0.0,0.0,363.6017920217697,0.0,0.0,0.0,0.0,0.0,0.0,198.7762624682794,0.0,0.0,Deccan Plateau (Telangana) & Eastern Ghats (Semi-Arid); Eastern Plateau (Chhotanagpur) & Eastern Ghats (Subhumid),2,True,Shared: Deccan Plateau (Telangana) & Eastern Ghats (Semi-Arid) + Eastern Plateau (Chhotanagpur) & Eastern Ghats (Subhumid),#888888
Alluri Sitharama Raju,Y.Ramavaram,Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,987.1230763044392,0.0,0.0,Eastern Plateau (Chhotanagpur) & Eastern Ghats (Subhumid),1,False,Eastern Plateau (Chhotanagpur) & Eastern Ghats (Subhumid),#5cb7aa
Anakapalli,Anakapalle,Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,203.5321322451845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Coastal Plain (Subhumid–Semi-Arid),1,False,Eastern Coastal Plain (Subhumid–Semi-Arid),#fff1a8
Anakapalli,Atchutapuram,Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,144.1868784415213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Coastal Plain (Subhumid–Semi-Arid),1,False,Eastern Coastal Plain (Subhumid–Semi-Arid),#fff1a8
