State,District,Block,DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,DECCAN PLATU  HOT SEMI-ARID ECO-REGION,EASTERN COASTAL PLAIN  HOT SUBHUMID TO SEMI-ARID EGO-REGION,EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,KARNATAKA PLATEAU (RAYALSEEMA AS INCLUSION),WESTERN GHATS AND COASTAL PLAIN  HOT HUMID-PERHUMID ECO-REGION
KA,Chikkamagaluru,Ajjampura,0.0,0.0,0.0,586.830881289457,0.0,0.0
KA,Chikkamagaluru,Chikkamagaluru,0.0,0.0,0.0,401.81670039645513,0.0,1326.417702983187
KA,Chikkamagaluru,Kadur,0.0,0.0,0.0,1333.145180719791,0.0,0.0
KA,Chikkamagaluru,Koppa,0.0,0.0,0.0,0.0,0.0,634.1372491568281
KA,Chikkamagaluru,Mudigere,0.0,0.0,0.0,0.0,0.0,1192.8454374631035
KA,Chikkamagaluru,Narasimharajapura,0.0,0.0,0.0,4.097448830297178,0.0,850.7631979503152
KA,Chikkamagaluru,Sringeri,0.0,0.0,0.0,0.0,0.0,439.3225374974416
KA,Chikkamagaluru,Tarikere,0.0,0.0,0.0,683.957800332148,0.0,207.79356115896422
KA,Chitradurga,Challakere,0.0,0.0,0.0,319.54879182727746,1927.6786871160916,0.0
KA,Chitradurga,Chitradurga,0.0,0.0,0.0,1323.918304284858,145.9540089846799,0.0
KA,Chitradurga,Hiriyur,0.0,0.0,0.0,1819.045994544147,0.9527952201399662,0.0
KA,Chitradurga,Holalkere,0.0,0.0,0.0,1152.8234024364433,0.0,0.0
KA,Chitradurga,Hosdurga,0.0,0.0,0.0,1543.529745085666,0.0,0.0
KA,Chitradurga,Molakalmuru,0.0,0.0,0.0,0.0,794.1644302628782,0.0
KA,Dakshina Kannada,Bantval,0.0,0.0,0.0,0.0,0.0,785.4359183247938
KA,Dakshina Kannada,Beltangadi,0.0,0.0,0.0,0.0,0.0,1464.0008473861324
KA,Dakshina Kannada,Kadaba,0.0,0.0,0.0,0.0,0.0,772.5935207527452
KA,Dakshina Kannada,Mangaluru,0.0,0.0,0.0,0.0,0.0,600.9787655897258
KA,Dakshina Kannada,Moodubidire,0.0,0.0,0.0,0.0,0.0,316.96870074284124
KA,Dakshina Kannada,Puttur,0.0,0.0,0.0,0.0,0.0,447.0933431048217
KA,Dakshina Kannada,Sulya,0.0,0.0,0.0,0.0,0.0,763.4995090073987
KA,Davangere,Channagiri,0.0,0.0,0.0,1295.8241039658174,0.0,0.0
KA,Davangere,Davanagere,0.0,0.0,0.0,1020.9566420356351,0.0,0.0
KA,Davangere,Harapanahalli,0.0,92.7080045119463,0.0,582.9677659617877,870.5772308329203,0.0
KA,Davangere,Harihar,0.0,22.76873407778411,0.0,502.65270373966416,0.0,0.0
KA,Davangere,Honnali,0.0,0.0,0.0,527.3394051790352,0.0,0.0
KA,Davangere,Jagalur,0.0,0.0,0.0,141.39471872346755,901.3948457578009,0.0
KA,Davangere,Nyamathi,0.0,0.0,0.0,390.820342142836,0.0,2.656301966290275
KA,Dharwad,Alnavar,0.0,132.0655913413894,0.0,0.0,0.0,0.0
KA,Dharwad,Annigeri,0.0,402.7221243854365,0.0,0.0,0.0,0.0
KA,Dharwad,Dharwad,0.0,1006.5159877862833,0.0,0.0,0.0,0.0
KA,Dharwad,Hubballi,0.0,579.6376260031543,0.0,0.0,0.0,0.0
KA,Dharwad,Hubballi Urban,0.0,309.2614986028331,0.0,0.0,0.0,0.0
KA,Dharwad,Kalghatgi,0.0,732.3160462853201,0.0,0.0,0.0,0.0
